,total
0,57443466
1,60936753
2,63743700
3,66838504
4,69620234
5,72035640
6,76671812
7,80998099
8,84296847
9,87411872
10,90111528
11,93559587
12,95823614
13,98703696
14,100853671
15,102927296
16,104950409
17,105896430
18,108178574
19,110165234
20,111673361
21,113584269
22,115461202
23,117105343
24,117795008
25,119886252
26,121263287
27,122538179
28,123811908
29,125376952
30,126328970
31,126704151
32,127696675
33,128627919
34,129730641
35,131058890
36,132294827
37,133366482
38,133854676
39,135192013
40,136557345
41,137805245
42,139087590
43,139861462
44,141132112
45,141764335
46,143090218
47,144270200
48,145333606
49,146624652
50,147893976
51,149302864
52,150180408
53,152439044
54,154384464
55,156189641
56,159006359
57,161951713
58,164804095
59,165823004
60,170640412
61,172945950
62,175677634
63,179205337
64,182451348
65,183824958
66,186933771
67,189503126
68,192669299
69,195747476
